lda1,lda2,label
-0.175962603,1.369590553,1
-1.179710581,-0.58382658,0
-0.845655189,0.315140036,0
4.889672223,0.918557037,2
1.837131532,-0.140673742,2
-2.029605408,2.036714715,1
-0.570457894,-0.367780688,1
-1.85486961,-0.679524732,1
-0.352843044,1.419268583,1
-2.013908669,0.97723532,0
-1.636462765,-0.467074572,3
4.313144464,1.85440798,2
-1.77600856,-2.073176036,3
3.477690291,-0.681801251,2
4.13999017,0.393037848,2
-1.463284551,1.094860911,1
-2.123309472,-2.261697857,3
-0.656014598,-1.397465472,3
-2.200321458,2.115132636,0
3.257794875,-2.319993366,2
-1.653141629,2.097684289,1
-1.645913382,2.09068741,1
-2.513035708,1.568040007,1
-2.374896333,-3.257613882,3
2.978523188,0.243246541,2
3.238526145,-0.594611067,2
-0.061559513,1.078449316,1
2.158742031,-0.062699956,2
-0.558741208,0.042803194,1
-0.040188091,2.034591354,0
-2.423809945,-4.126806994,3
0.144175082,2.867623401,0
-0.976013054,-0.480848586,3
-0.552454297,2.492045606,1
3.348368877,-0.013542395,2
-3.011382824,-4.035364955,3
-1.671560785,-1.121925047,3
0.256158415,-2.314057704,3
0.916233618,2.038891994,1
-1.404424066,-1.439976373,3
-2.572227687,-3.089183451,3
-0.82207055,0.691385528,1
-1.898742423,2.510727922,0
-2.96542369,-0.031896009,3
4.065819949,-3.548137721,2
-2.29008269,-0.86068349,1
-2.821488692,0.542527823,1
4.657743541,0.546904104,2
-2.242914732,2.454514115,0
2.336081518,-0.90546498,2
-2.983271115,-4.240917635,3
-3.963519494,-2.177053268,3
4.267034161,-0.200243312,2
-2.581554134,1.381466055,0
5.211971952,-1.295191104,2
-2.393051891,-0.995138314,0
-0.318343853,-1.562078791,3
3.574471796,-1.182022528,2
-1.875292081,-4.315926628,3
-1.685310629,-0.860307171,1
-1.700598545,-2.53308111,3
-1.951694066,-3.409720089,3
-2.393212225,-3.663128357,3
-1.220267049,0.971342704,1
-3.341179316,-3.85643898,3
0.292930206,1.486915656,0
4.930779126,-0.69056877,2
-1.201387856,1.478787985,0
-2.032369542,-2.61091755,3
-2.368888717,-2.405714053,3
0.438504545,0.998697269,2
-2.426257156,-5.184409843,3
-2.219153667,-2.590683642,3
-0.92993675,0.156319987,0
-2.504308554,1.356953836,1
0.18118738,1.562928272,0
-2.575613801,-1.753416267,3
0.32272771,0.726337273,1
3.362025722,1.514836249,2
-1.40119463,3.179814491,1
1.979217745,-1.933981767,2
4.570600807,-0.58530131,2
-0.814422332,1.653578028,0
6.199805896,-2.198472417,2
-0.131902933,1.302763139,0
4.48319199,-2.533936221,2
4.826260598,0.634027143,2
-1.33175699,0.952541371,0
-1.516653677,1.270133578,0
-3.148606914,0.737395222,0
1.324456614,0.231212226,2
-3.345484705,-1.98301145,3
0.387121442,1.874476824,0
-0.24617801,-0.645439502,1
-2.692094066,-2.431140095,3
-2.442092639,0.507761531,1
-2.365198053,1.5541534,0
0.449329625,2.511144321,0
5.279986317,-1.431664735,2
-2.56458573,0.471070557,3
-2.837964986,1.31937503,0
-2.736162281,2.431461692,1
4.15072031,-0.39825529,2
4.168376312,0.654469754,2
0.02654857,0.950851615,0
5.385902201,0.580135689,2
-1.845552243,1.243109191,0
-0.6068734,0.600998908,1
-0.842236656,0.863599743,1
-1.750336022,0.197315928,0
-1.036332857,1.569427859,0
-1.68744781,1.757147054,1
-3.015909838,-3.632198984,3
2.733780188,-1.256123009,2
-0.88617056,0.300713752,0
4.751658776,0.764670168,2
-2.054886391,-2.723799718,3
3.665124093,-0.210899959,2
-1.662035046,-0.799545303,3
0.423612864,1.115609713,0
-1.583529966,1.406923167,1
-1.6417952,1.717253146,0
-1.561755232,1.857496722,1
-2.441899332,-2.900091298,3
-3.700775056,-0.560188809,3
-0.77527038,1.324257608,1
-0.932646873,1.456914925,0
3.287043185,-1.920377231,2
-1.858831403,0.998201738,0
5.793857801,-1.940608262,2
3.894288978,-0.383208224,2
5.106431088,-1.139543585,2
4.944195982,1.047084302,2
-1.452110098,0.708532298,1
-2.582395596,-3.367383518,3
-0.57188704,1.992791997,0
-1.301959521,-0.955303195,3
5.323468403,1.152132215,2
2.022449437,0.331810964,2
-2.855274523,0.530889911,0
-0.300539558,2.037951338,0
-1.576999997,1.45010764,0
-2.454906188,0.977101926,1
-1.915777007,1.416374537,1
-1.213350204,2.333374314,0
-2.348836974,2.410169315,0
0.484474014,0.392056296,1
-1.226674579,1.585293279,0
-1.753009375,1.277842527,0
1.48944063,0.942790778,2
-1.176308677,1.490218411,0
-2.354780507,-2.947655912,3
-1.707463347,2.254690989,0
-2.772557396,1.709467485,0
-0.0332637,0.155108444,1
4.075939221,-1.509394232,2
5.048613531,-1.994767113,2
-1.949443113,0.862122121,1
-0.937243365,1.531851809,1
-0.715546456,1.61339975,1
-1.341929966,1.9775825,0
-1.276046661,0.77316522,1
-0.140325366,1.230721225,0
-2.356862738,-1.485916772,3
-2.286793362,-3.040460716,3
-2.623359421,3.060104734,0
-0.765366767,3.081510379,1
-1.83889242,1.69382973,0
-1.11105888,1.995110274,0
2.947221622,-1.542387008,2
-0.532121461,2.001119408,0
-1.684896716,1.45828744,0
-2.261179108,0.977419704,1
-1.963980513,3.758605542,0
5.2638993,0.51113502,2
-0.167047126,0.549791599,1
-2.406786998,0.514676595,1
-1.674613669,1.568982907,1
-1.469584602,0.928246849,1
-1.868510542,-3.230108601,3
4.541266824,-2.330815313,2
-1.632715084,-2.08899992,3
2.020767857,-1.06387205,2
-1.68907092,1.524311249,1
-2.036211282,2.521580317,0
-2.439970762,-3.121867188,3
4.697433285,-0.164474945,2
-2.841931454,-3.381353509,3
3.801423447,0.038375477,2
3.693067006,-0.143517644,2
-1.095737202,1.982075607,1
2.183865083,0.736964536,2
-2.631976394,-3.197462649,3
-2.846166054,2.102599163,1
3.483923733,1.104996369,2
-0.203785347,2.789269083,0
-0.814198631,-0.886818604,3
4.691419203,-0.931377005,2
3.229575008,1.097210748,2
-1.149066176,2.034729559,1
-1.885813003,2.157498155,1
-0.818730607,1.276226563,1
4.861429608,0.158873718,2
1.33671246,0.359923909,2
-1.487572656,-1.214643736,3
3.155906234,-0.715172206,2
-1.10442208,-2.783160892,3
3.79650382,-2.536691033,2
-2.117791341,-3.515133673,3
-1.227832142,1.969995086,0
4.961205387,-0.560647793,2
-1.532426182,-1.617879318,3
-1.572614994,-0.866533754,3
4.462644003,-0.459833418,2
-1.605250731,1.287910945,0
3.01606014,-0.826636095,2
-0.92144656,0.842426576,0
5.422012685,-1.59765263,2
6.131362328,0.110610171,2
-0.891750194,0.840623864,1
-1.698766967,-2.313625739,3
2.961353479,0.486938719,2
-1.38169266,2.750030525,0
-1.910375752,1.899253329,0
-1.559040786,0.753204843,0
-2.325841559,0.67685781,1
3.218906208,2.033449748,2
-0.699148266,1.473963929,0
-1.001775676,-1.528899045,3
4.127765232,-1.905925728,2
0.829280193,0.759443854,1
-3.23998897,-0.070096846,1
4.53585214,-1.816595866,2
-3.597722633,-4.012797348,3
-1.185050449,1.367550067,1
-0.681229387,2.342569878,0
-0.772533066,0.650883102,1
0.71508121,2.218543666,0
3.981806758,-1.424599263,2
2.074451007,-0.044903211,2
4.637210749,-0.809580133,2
2.010398109,-0.097011672,2
3.854883249,-1.141458854,2
-1.268597511,2.079779689,0
-0.615187487,2.03365241,1
-0.853510812,-0.049168011,1
-1.223422288,0.640716719,1
-1.705197551,0.114038212,0
-2.740048288,-2.265930776,3
-2.360755972,-3.190223203,3
-2.145886164,2.257044608,1
-1.420782368,-0.731105606,1
-2.087672759,2.629959828,0
-0.455729819,0.738090679,0
-2.01064221,-2.310163334,3
-1.088475977,-0.07824111,1
-0.196404205,0.579424129,1
-1.261853114,2.901049685,1
3.727508981,-1.675004775,2
-2.225113538,-2.614021083,3
2.046416952,0.209947992,2
-1.138173735,1.703026942,1
4.124792407,-0.792363318,2
-0.906849483,0.031028706,1
4.584508877,0.603282143,2
-0.639565347,0.901682621,1
-1.212860467,-3.833372056,3
-1.607018433,1.208652643,0
0.095867989,0.787299045,1
5.511413504,-0.795094953,2
2.100958844,-1.632729736,2
-1.796797132,1.709700664,1
-1.62535436,3.269558052,0
-2.025479296,0.893292379,1
4.328680186,-1.04310065,2
-1.783533466,2.244087612,0
-1.647223074,1.828879485,0
4.399390526,-0.570567106,2
-0.04187758,1.141547259,0
3.468531447,0.475034238,2
-1.334644399,1.907184252,0
0.373832876,2.626795178,0
2.892655741,-0.165625801,2
-0.759300946,0.340050484,1
2.342422536,-0.67297599,2
-0.958812327,1.771319628,1
-1.890065093,1.075327314,0
-1.629052628,-2.939935781,3
-1.220265604,-2.268246286,3
4.606478239,0.244828845,2
-1.060866529,0.884758881,1
-0.456420146,1.086719314,1
0.576524922,2.140075933,0
-0.601208964,1.512993128,0
-3.160114974,1.699203076,1
-2.57439636,-2.620691819,3
-0.733418104,0.217560865,1
-1.234114856,-2.671734171,3
-2.698343444,-4.23128184,3
0.250441113,1.383052762,1
-1.391443375,2.05005131,0
1.109355923,0.78326687,1
-0.858630613,-0.749877029,0
-2.00661788,-2.959125757,3
4.893906597,0.592484375,2
5.759166417,-0.437863599,2
2.97968042,-1.022603387,2
-1.840816644,1.382442362,0
-1.430703459,0.298713596,0
-1.25152005,0.924797445,0
-1.062829696,1.170316647,1
-0.220263169,0.461215874,0
0.026552988,2.408333977,0
-0.876547451,1.347871853,0
4.175650719,-0.813677848,2
-2.360096159,-2.982404985,3
-0.72652143,3.375176935,0
4.3171795,-0.896939012,2
-0.639355974,1.788447623,0
5.529931819,-0.286321695,2
5.176598535,0.996885877,2
6.367004256,-1.46840957,2
-0.845609269,1.353544653,0
-0.68568157,0.756790386,0
4.399330192,0.307924266,2
-0.824757979,3.87911324,1
-1.535255639,-1.268832675,3
-1.574385183,1.177062413,0
-1.17325715,-2.007774796,3
-0.976345277,1.167900041,1
-0.677237674,2.501679102,0
-1.565228757,1.66127374,0
-1.562195949,1.734108455,0
-0.379704014,1.343356982,0
-0.970075625,1.14269949,0
6.040617638,0.47168939,2
